-,-,-
-327, 182, 1010
-284, 176, 883
-302, 198, 880
-316, 189, 930
-325, 161, 981
-325, 161, 981
-321, 169, 988
-291, 211, 913
-283, 215, 881
-288, 206, 893
-285, 195, 882
-267, 202, 893
-267, 202, 893
-260, 199, 854
-252, 186, 834
-249, 169, 800
-241, 135, 793
-216, 112, 769
-151, 101, 742
-151, 101, 742
-98, 78, 769
-35, 62, 830
50, 82, 895
124, 95, 930
124, 95, 930
161, 121, 970
166, 130, 1042
141, 122, 1166
120, 164, 1276
120, 164, 1276
91, 194, 1407
4, 191, 1538
-77, 187, 1664
-164, 158, 1837
-269, 121, 1888
-269, 121, 1888
-357, 43, 1798
-430, -42, 1661
-497, -175, 1539
-556, -281, 1353
-578, -336, 1232
-560, -324, 1075
-526, -288, 860
-484, -227, 713
-454, -129, 492
-420, -45, 353
-393, 33, 248
-393, 33, 248
-358, 123, 190
-312, 204, 190
-256, 253, 258
-205, 335, 434
-185, 326, 548
-158, 322, 685
-,-,-
-287, 306, 790
-287, 306, 790
-295, 300, 837
-302, 280, 857
-290, 255, 881
-271, 249, 818
-247, 237, 729
-210, 227, 757
-210, 227, 757
-182, 203, 785
-150, 164, 726
-79, 141, 670
6, 85, 734
98, 84, 847
98, 84, 847
211, 166, 908
318, 236, 1010
424, 311, 1157
424, 311, 1157
433, 318, 1310
367, 335, 1439
273, 345, 1532
150, 306, 1573
-48, 191, 1556
-273, 42, 1552
-273, 42, 1552
-430, -35, 1540
-542, -100, 1405
-656, -174, 1315
-727, -216, 1224
-724, -206, 1153
-689, -167, 1023
-676, -135, 969
-655, -119, 925
-619, -78, 872
-545, 17, 772
-545, 17, 772
-485, 108, 691
-463, 135, 623
-438, 163, 570
-416, 205, 569
-,-,-
-478, 367, 804
-470, 329, 805
-483, 335, 822
-473, 350, 831
-462, 339, 788
-445, 340, 766
-445, 340, 766
-413, 342, 754
-394, 332, 742
-376, 313, 792
-340, 301, 773
-292, 264, 729
-256, 249, 729
-256, 249, 729
-196, 247, 762
-145, 227, 800
-81, 212, 878
-8, 238, 927
69, 249, 1046
69, 249, 1046
136, 262, 1105
167, 257, 1203
173, 280, 1256
163, 297, 1283
96, 249, 1305
96, 249, 1305
34, 226, 1362
-42, 188, 1379
-152, 132, 1460
-261, 68, 1466
-359, 36, 1424
-427, 23, 1358
-427, 23, 1358
-478, 25, 1217
-533, -12, 1160
-601, -84, 1129
-638, -112, 1112
-639, -117, 1033
-632, -94, 617
-660, -36, 644
-677, -45, 678
-677, -45, 678
-661, -7, 678
-608, 82, 698
-,-,-
-353, 263, 900
-335, 229, 1023
-326, 246, 914
-325, 272, 818
-308, 276, 860
-278, 253, 925
-226, 246, 927
-226, 246, 927
-189, 235, 859
-162, 201, 889
-133, 183, 894
-83, 209, 908
-44, 226, 864
-44, 226, 864
-40, 194, 867
-15, 186, 961
23, 195, 983
42, 187, 958
42, 187, 958
27, 169, 1005
38, 186, 1099
99, 273, 1189
99, 273, 1189
115, 287, 1210
91, 257, 1329
35, 198, 1488
-47, 159, 1602
-191, 107, 1639
-326, 62, 1606
-326, 62, 1606
-447, -23, 1528
-580, -98, 1408
-685, -198, 1183
-782, -321, 927
-870, -364, 743
-891, -327, 751
-878, -270, 699
-815, -200, 574
-,-,-
-328, 275, 916
-348, 277, 867
-305, 316, 858
-305, 316, 858
-280, 309, 859
-233, 285, 846
-175, 273, 873
-128, 268, 830
-83, 272, 838
-83, 272, 838
-53, 237, 917
-31, 203, 927
0, 203, 924
21, 214, 977
21, 214, 977
36, 216, 992
61, 216, 1038
108, 258, 1118
108, 258, 1118
126, 270, 1182
80, 243, 1249
51, 226, 1316
32, 242, 1385
-14, 235, 1402
-14, 235, 1402
-92, 201, 1407
-182, 141, 1404
-262, 91, 1377
-374, 9, 1401
-486, -70, 1335
-582, -107, 1199
-651, -102, 1084
-712, -140, 902
-773, -157, 704
-773, -157, 704
-,-,-
-179, 295, 982
-142, 224, 856
-160, 237, 890
-142, 246, 982
-118, 229, 1022
-118, 229, 1022
-79, 223, 1005
-52, 225, 950
-48, 219, 944
-37, 182, 903
-27, 171, 870
-27, 171, 870
6, 199, 864
46, 198, 866
102, 221, 940
102, 221, 940
164, 216, 959
195, 185, 995
214, 170, 1094
229, 152, 1156
235, 146, 1225
235, 146, 1225
240, 160, 1322
203, 128, 1364
130, 67, 1384
20, -1, 1454
-95, -53, 1454
-95, -53, 1454
-197, -74, 1469
-251, -84, 1407
-327, -110, 1362
-421, -146, 1349
-506, -221, 1312
-582, -251, 992
-665, -194, 1014
-704, -157, 1020
-701, -124, 949
-643, -40, 669
-668, 60, 440
-668, 60, 440
-677, 102, 525
-667, 144, 464
-652, 191, 458
-611, 238, 455
-546, 316, 316
-,-,-
-416, 296, 829
-414, 304, 815
-414, 304, 815
-407, 302, 819
-387, 320, 890
-371, 303, 883
-336, 308, 876
-306, 317, 867
-282, 324, 845
-282, 324, 845
-258, 326, 814
-246, 286, 835
-241, 240, 932
-223, 221, 961
-195, 220, 901
-172, 218, 892
-172, 218, 892
-158, 197, 911
-150, 165, 959
-107, 174, 1001
-58, 167, 995
-17, 163, 1004
5, 145, 1030
5, 145, 1030
53, 163, 1144
137, 205, 1314
169, 230, 1335
111, 194, 1375
111, 194, 1375
27, 121, 1449
-99, 16, 1491
-231, -62, 1502
-357, -127, 1441
-474, -177, 1441
-568, -280, 1474
-653, -341, 1255
-721, -301, 1063
-746, -219, 872
-772, -183, 680
-772, -183, 680
-766, -91, 484
-752, 32, 307
-716, 110, 221
-674, 205, 166
-649, 267, 145
-,-,-
-418, 315, 862
-383, 290, 859
-398, 292, 883
-391, 296, 880
-383, 296, 890
-375, 287, 861
-375, 287, 861
-358, 298, 826
-329, 303, 824
-305, 288, 842
-281, 262, 833
-255, 246, 808
-229, 228, 843
-229, 228, 843
-181, 221, 922
-117, 225, 973
-63, 237, 1047
-49, 231, 1094
-64, 216, 1105
-96, 201, 1141
-96, 201, 1141
-151, 185, 1178
-204, 189, 1214
-266, 166, 1184
-339, 141, 1203
-415, 119, 1246
-501, 77, 1266
-604, -10, 1292
-684, -67, 1260
-684, -67, 1260
-755, -106, 1142
-806, -138, 1046
-838, -146, 908
-838, -125, 780
-820, -66, 638
-793, -7, 537
-755, 60, 436
-,-,-
-388, 318, 843
-356, 325, 797
-366, 285, 827
-347, 256, 883
-319, 228, 903
-319, 228, 903
-274, 218, 890
-213, 224, 869
-168, 219, 909
-134, 217, 951
-116, 211, 966
-85, 221, 988
-85, 221, 988
-65, 222, 1036
-63, 224, 1071
-79, 208, 1113
-97, 188, 1122
-127, 166, 1159
-157, 151, 1211
-157, 151, 1211
-211, 130, 1245
-289, 104, 1274
-341, 91, 1304
-406, 82, 1263
-498, 48, 1245
-584, 4, 1279
-646, -29, 1233
-707, -54, 1096
-707, -54, 1096
-763, -70, 1034
-813, -106, 973
-844, -117, 844
-846, -76, 665
-831, -34, 574
-801, 15, 517
-755, 85, 439
-755, 85, 439
-717, 138, 345
-,-,-
-450, 328, 910
-406, 358, 871
-397, 342, 772
-383, 322, 814
-367, 277, 906
-330, 260, 883
-277, 277, 831
-277, 277, 831
-230, 286, 816
-192, 268, 818
-172, 208, 904
-152, 165, 978
-125, 154, 971
-114, 149, 989
-114, 149, 989
-115, 127, 1025
-126, 96, 1100
-124, 101, 1147
-134, 116, 1167
-150, 112, 1185
-197, 92, 1299
-262, 65, 1368
-262, 65, 1368
-321, 51, 1314
-383, 37, 1294
-456, 6, 1323
-525, -8, 1300
-590, -30, 1240
-638, -58, 1250
-638, -58, 1250
-697, -101, 1175
-759, -125, 1055
-791, -131, 871
-813, -106, 711
-816, -60, 627
-798, -3, 547
-775, 36, 458
-,-,-
-381, 342, 818
-308, 254, 946
-320, 247, 973
-295, 242, 923
-295, 242, 923
-269, 217, 878
-240, 206, 887
-195, 207, 921
-149, 212, 927
-109, 226, 884
-75, 229, 906
-75, 229, 906
-73, 183, 1016
-78, 160, 1037
-83, 147, 1021
-89, 132, 1098
-99, 122, 1184
-110, 114, 1197
-110, 114, 1197
-119, 124, 1237
-132, 148, 1239
-174, 141, 1263
-221, 128, 1315
-274, 124, 1317
-330, 134, 1296
-381, 129, 1290
-444, 94, 1280
-511, 67, 1288
-511, 67, 1288
-590, 20, 1179
-652, -2, 1095
-700, -23, 1020
-732, -33, 909
-756, -49, 789
-759, -41, 648
-759, -41, 648
-755, -6, 512
-741, 31, 469
-703, 90, 408
-657, 159, 360
-617, 203, 336
-,-,-
-277, 171, 903
-219, 115, 900
-231, 136, 1007
-205, 137, 938
-156, 126, 987
-156, 126, 987
-93, 151, 1036
-4, 233, 1019
54, 256, 1043
58, 230, 1142
60, 233, 1123
60, 233, 1123
29, 198, 1110
-56, 191, 1193
-139, 165, 1220
-225, 92, 1386
-323, 27, 1495
-323, 27, 1495
-427, -25, 1534
-494, -84, 1491
-581, -167, 1468
-672, -299, 1394
-765, -436, 1254
-816, -468, 1072
-818, -451, 766
-821, -380, 434
-806, -290, 367
-774, -218, 267
-735, -126, 189
-,-,-
-344, 153, 795
-335, 124, 901
-299, 142, 869
-263, 115, 844
-238, 101, 920
-182, 79, 914
-182, 79, 914
-123, 65, 870
-55, 112, 906
25, 155, 961
111, 174, 1080
194, 228, 1172
194, 228, 1172
239, 263, 1234
213, 155, 1270
124, 39, 1307
19, 15, 1332
19, 15, 1332
-98, 10, 1353
-213, -10, 1425
-334, -59, 1403
-440, -118, 1459
-529, -199, 1501
-607, -267, 1476
-651, -350, 1342
-724, -423, 1193
-755, -448, 1048
-754, -418, 817
-731, -351, 567
-,-,-
-142, 217, 1001
-133, 193, 1240
-133, 193, 1240
-96, 189, 1163
-48, 154, 1108
-9, 128, 1127
12, 128, 1083
30, 131, 986
30, 131, 986
77, 149, 1099
90, 122, 1058
73, 98, 1039
37, 78, 1086
37, 78, 1086
15, 90, 1171
-4, 114, 1227
-54, 116, 1282
-54, 116, 1282
-133, 32, 1359
-208, -57, 1541
-275, -88, 1602
-343, -153, 1512
-424, -227, 1507
-480, -324, 1301
-561, -355, 1063
-631, -416, 1025
-656, -448, 958
-627, -362, 661
-612, -244, 437
-619, -129, 330
-619, -129, 330
-628, -36, 245
-,-,-
-230, 344, 830
-170, 306, 870
-183, 169, 829
-194, 101, 936
-157, 91, 982
-157, 91, 982
-122, 77, 907
-78, 66, 882
-36, 9, 902
-36, 9, 902
0, -18, 1144
77, 68, 1206
142, 175, 1133
151, 173, 1182
151, 173, 1182
142, 133, 1231
139, 125, 1307
129, 129, 1309
92, 134, 1286
14, 116, 1301
14, 116, 1301
-74, 76, 1393
-150, 50, 1449
-238, -5, 1384
-365, -137, 1441
-428, -212, 1572
-469, -289, 1549
-500, -361, 1366
-534, -418, 1251
-570, -471, 1253
-565, -462, 1072
-526, -375, 621
-526, -375, 621
-574, -194, 284
-582, -90, 284
-555, 11, 235
-523, 133, 200
-,-,-
-145, 220, 870
-165, 127, 948
-165, 127, 948
-137, 61, 1077
-115, 31, 1034
-77, 52, 935
-26, 49, 968
-26, 49, 968
26, 73, 1057
86, 128, 1143
125, 172, 1194
162, 195, 1267
169, 210, 1298
169, 210, 1298
114, 206, 1306
45, 180, 1287
-9, 154, 1319
-70, 169, 1326
-154, 143, 1295
-154, 143, 1295
-252, 68, 1258
-334, 0, 1343
-411, -76, 1320
-462, -96, 1326
-489, -146, 1259
-515, -221, 1176
-546, -267, 1121
-586, -310, 976
-603, -319, 830
-608, -302, 725
-608, -302, 725
-,-,-
-198, 271, 878
-152, 227, 815
-118, 194, 908
-88, 230, 1064
-37, 191, 1138
2, 155, 1124
