-,-,-
-165, 148, 780
-177, 173, 741
-177, 173, 741
-171, 126, 801
-142, 110, 708
-88, 112, 528
-45, 70, 383
-5, 5, 302
-5, 5, 302
40, -12, 308
158, -1, 454
158, -1, 454
304, 12, 705
454, 27, 975
519, 70, 1454
519, 70, 1454
509, 131, 1815
465, 182, 1950
399, 203, 1957
317, 238, 1871
233, 291, 1877
233, 291, 1877
225, 320, 1998
252, 285, 1998
223, 202, 1998
111, -32, 1998
-54, -312, 1922
-207, -550, 1649
-316, -726, 1421
-406, -790, 1065
-500, -696, 785
-500, -696, 785
-526, -547, 592
-528, -465, 374
-544, -371, 150
-556, -259, 2
-537, -102, -73
-519, 84, -143
-516, 215, -269
-507, 312, -279
-507, 312, -279
-524, 339, -237
-,-,-
56, 395, 623
176, 289, 728
223, 200, 836
223, 200, 836
222, 139, 695
212, 36, 615
198, -136, 743
194, -244, 961
185, -208, 1006
185, -208, 1006
150, -165, 1059
153, -101, 1202
203, -52, 1319
253, -38, 1389
279, -7, 1524
299, 63, 1655
299, 63, 1655
322, 151, 1644
335, 204, 1567
286, 202, 1438
180, 220, 1362
141, 292, 1383
126, 344, 1367
126, 344, 1367
73, 369, 1366
-3, 369, 1452
-50, 237, 1652
-100, 136, 1739
-132, 85, 1848
-132, 85, 1848
-118, -12, 1926
-122, -143, 1859
-188, -322, 1608
-226, -528, 1500
-249, -615, 1341
-292, -650, 1038
-344, -593, 633
-395, -545, 342
-435, -498, 151
-,-,-
100, 354, 627
139, 234, 646
115, 128, 716
183, 74, 830
183, 74, 830
284, 70, 971
310, 75, 1032
266, 6, 1100
266, 6, 1100
239, -81, 1180
241, -77, 1304
210, -82, 1353
174, -121, 1353
164, -112, 1310
160, -65, 1327
160, -65, 1327
125, 11, 1287
91, 74, 1313
94, 158, 1261
99, 218, 1211
99, 218, 1211
53, 257, 1135
26, 306, 1160
26, 342, 1276
46, 385, 1377
46, 385, 1377
37, 421, 1473
90, 390, 1741
173, 302, 1970
198, 209, 1998
177, 76, 1998
177, 76, 1998
213, -57, 1998
202, -152, 1981
76, -276, 1658
-71, -439, 1253
-147, -555, 1031
-218, -583, 738
-312, -560, 470
-312, -560, 470
-387, -520, 266
-458, -435, -16
-526, -354, -160
-,-,-
32, 356, 748
76, 220, 919
86, 85, 975
86, 85, 975
134, 85, 829
184, 41, 834
210, -52, 1013
210, -52, 1013
224, -97, 1064
225, -97, 1023
195, -90, 1021
158, -66, 1060
123, -98, 1117
55, -103, 1115
55, -103, 1115
-28, -62, 1156
16, 39, 1262
100, 119, 1399
87, 178, 1424
19, 222, 1411
19, 222, 1411
16, 228, 1422
60, 224, 1412
30, 208, 1349
-28, 169, 1361
-28, 169, 1361
-62, 164, 1429
-92, 196, 1495
-122, 204, 1638
-125, 181, 1702
-134, 52, 1840
-131, -75, 1984
-106, -186, 1998
-113, -271, 1998
-121, -346, 1861
-121, -346, 1650
-97, -498, 1650
-137, -577, 1380
-219, -625, 991
-271, -580, 602
-313, -542, 116
-387, -535, -201
-,-,-
-4, 262, 802
-4, 262, 802
71, 272, 746
123, 201, 832
147, 99, 943
147, 99, 943
206, 59, 963
256, -11, 948
270, -148, 1029
248, -203, 1157
231, -166, 1175
231, -166, 1175
199, -130, 1183
138, -67, 1186
70, 30, 1272
36, 146, 1353
11, 225, 1437
-19, 264, 1509
-19, 264, 1509
-43, 322, 1494
-35, 371, 1559
7, 426, 1647
8, 447, 1675
8, 447, 1675
-22, 402, 1612
-49, 321, 1583
-26, 248, 1609
-21, 172, 1718
-34, 118, 1795
-34, 118, 1795
0, 109, 1713
-1, 13, 1671
58, -169, 1641
89, -405, 1610
32, -629, 1452
32, -629, 1452
-47, -752, 1198
-122, -724, 947
-208, -646, 512
-359, -562, 181
-503, -448, -13
-,-,-
-145, 263, 794
-2, 223, 718
45, 209, 730
45, 209, 730
89, 123, 715
157, 21, 711
271, -10, 795
325, -40, 788
325, -40, 788
293, -74, 788
235, -78, 884
237, -29, 1011
236, -7, 1213
236, -7, 1213
155, 1, 1394
